ID,Header set,Class
CARNE-EN23/0,"Arial-BoldMT ""Description""",investments
CARNE-EN23/0,"Arial-BoldMT ""Currency""",investments
CARNE-EN23/1,"arial-boldmt ""Management Company""",manco
CARNE-EN23/1,"arial-boldmt ""Legal adviser""",manco
CARNE-EN23/2,"arial-boldmt ""^Statement of Net Assets""",fund_assets
EURIZON-EN23/0,"Frutiger-Light ""Nominal /""",investments
EURIZON-EN23/0,"Frutiger-Black[11.9735] ""PORTFOLIO AS AT""",investments
EURIZON-EN23/1,"frutiger-lightitalic ""MANAGEMENT COMPANY AND PROMOTER""",manco
EURIZON-EN23/1,"frutiger-black ""ORGANISATION OF THE FUND""",manco
EURIZON-EN23/2,"frutiger-black ""^STATEMENT OF NET ASSETS AS AT""",fund_assets
EURIZON-EN23/3,"""EVENTS OCCURRED DURING THE""",renaming
EURIZON-EN23/4,"""SUBSEQUENT EVENTS""",subsequent_events
EURIZON-EN23/5,"""periodic disclosure for the financial products referred to""",sfdr_classification
EURIZON-EN23/6,"arial-boldmt [7.5] ""Sustainability Indicator""",esg_indicators
EURIZON-EN23/6,"arial-boldmt [7.5] ""Description""",esg_indicators
EURIZON-EN23/6,"arial-boldmt [10] ""periods?""",esg_indicators
EURIZON-IT24/0,"TrebuchetMSBold ""Titolo""",investments
EURIZON-IT24/0,"TrebuchetMSBold ""Controvalore in""",investments
EURIZON-IT24/1,"trebuchetmsbold ""SOCIETÀ DI GESTIONE""",manco
EURIZON-IT24/2,"trebuchetmsbold ""FONDO COMUNE D'INVESTIMENTO""",merges
EURIZON-IT24/3,"""Allegato SFDR - Pag. 1$""",sfdr_page_1
EURIZON-IT24/4,"""Allegato SFDR - Pag. 2$""",sfdr_page_2
EURIZON-IT24/5,"""stata la prestazione degli indicatori di sosten""",esg_indicators
UBS-EN23,"Frutiger45LightBold ""Nominal """,investments
MEDIOLANUM-IT24.C,"""Valutazione """,investments
AMUNDI-EN24,"ArialNarrow-BoldItalic ""Securities Portfolio as at""",investments
AMUNDI-IT24,"TrebuchetMS-Bold ""Titolo""",investments
ANIMA-EN23/0,"Helvetica-Bold ""Holdings""",investments
ANIMA-EN23/1,"helvetica-condensed-bold ""^Statement of Financial Position""",fund_assets
ANIMA-EN23/1,"helvetica-condensed-blac ""ANIMA Funds Plc""",fund_assets
ANIMA-EN23/2,"helvetica-bold ""Manager, Promoter and Distributor""",manco
ANIMA-EN23/3,"helvetica-bold ""Funds merged during the financial year""",year_events
ANIMA-EN23/4,"""periodic disclosure for the financial products""",sfdr_classification
ANIMA_SICAV-EN24,"ArialNarrow-Bold ""Quantity/""",investments
ARCA-IT24/0,"TrebuchetMS-Bold ""Titoli""",investments
ARCA-IT24/0,"TrebuchetMS-Bold ""Divisa""",investments
ARCA-IT24/1,"""informativa periodica per i prodotti finanziari""",sfdr_classification
ASTERIA-EN23,"CenturyGothic-Bold ""Number of Shares/""",investments
ASTERIA-EN24,"CenturyGothic-Bold ""Transferable securities admitted to an official stock""",investments
DANSKEINVEST-EN24,"Calibri[13] ""Statement of Investments""",investments
EURIZON-EN21,"ArialMT-Bold ""Face value/""",investments
FIDEURAM-EN23,"Arial ""Country""",investments
FIDEURAM-IT24/0,"Tahoma,Bold ""Titolo""",investments
FIDEURAM-IT24/0,"Tahoma,Bold ""Controvalore""",investments
FIDEURAM-IT24/1,"arialitalic[15.48] ""Fondi comuni di investimento""",manco
MEDIOLANUM-ES24.B/0,"Helvetica-Bold ""Descripc""",investments
MEDIOLANUM-ES24.B/0,"Helvetica-Bold ""Divisa""",investments
MEDIOLANUM-ES24.B/0,"Helvetica-Bold ""Periodo actual""",investments
MEDIOLANUM-IT24.A/0,"[8.037657] ""Descrizione""",investments
MEDIOLANUM-ES24.B/1,"Helvetica-Bold ""Grupo Gestora:""",cover
MEDIOLANUM-ES24.B/1,"Helvetica-Bold ""Registro CNMV:""",cover
MEDIOLANUM-ES24.Bax,"""nformación periódica de los productos financieros""",sfdr_classification
MEDIOLANUM-IT24.A/0,"""Valutazione """,investments
