ID,Subfund set,Currency set,Body set,Market value,Quantity,% net assets,Acquisition cost,Acquisition currency
AMUNDI-EN24,ArialMT(:27),ArialNarrow(:208),ArialNarrow(:768),1,-1,2,,
AMUNDI-IT24,,,,2,1,5,,
ANIMA-EN23,,,,1,-1,2,,
ARCA-IT24,,,,3,2,4,,1
ASTERIA-EN23,CenturyGothic-Bold(80:95),"CenturyGothic-Bold[8.9802] ""(Expressed in""",CenturyGothic,4,1,5,3,2
ASTERIA-EN24,CenturyGothic-Bold(:87),"CenturyGothic-Bold[8.9802] ""(expressed in""",CenturyGothic (:810),4,1,5,3,2
DANSKEINVEST-EN24,Calibri[14.5](60:80),"Calibri[8.5] ""expressed in""",Calibri[9],4,1,5,3,2
EURIZON-EN21,ArialMT(82:98),"ArialMT[8.9802] ""(expressed in""",Verdana(195:710),4,1,5,3,2
EURIZON-EN23,Frutiger-Black(:85),"Frutiger-Black[11.9735] ""PORTFOLIO AS AT""",Frutiger-Light(160:765),3,-1,4,2,1
EURIZON-IT24,,,,2,1,3,,
FIDEURAM-EN23,Arial-Bold(:82),Arial[6.9846]((480:)(148:155.5)),Arial(103:749),1,-1,2,,-2
MEDIOLANUM-ES24.A,,,,4,1,5,3,2
MEDIOLANUM-ES24.B,,,,2,,3,,1
MEDIOLANUM-IT24.A,[15.47555] (:80),"[8.037657] ""valori espressi in""",[8.037657],4,1,5,3,2
MEDIOLANUM-IT24.C,[15.600012] (:80),"[7.920006] ""valori espressi in""",[7.920006],4,1,5,3,2
MEDIOLANUM-EN24,[15.48] (:80),"[8.04] ""expressed in""",TimesNewRomanPSMT[8.04] (:715),4,1,5,3,2
MEDIOLANUM-IT24.B,,,,2,1,3,,
FIDEURAM-IT24,,,,4,1,5,,
CARNE-EN23,,,,2,1,3,,-1
ANIMA_SGR-IT24,,,,3,2,4,,1
FINECO-EN23@LUX,ArialNarrow-Bold(:90),ArialNarrow-Bold((480:497)(145:159)),ArialNarrow[8],3,-1,4,2,1
FINECO-EN23@IR,,,,1,-1,2,,
ANIMA_SICAV-EN24,ArialNarrow-Bold(:75),"ArialNarrow-Bold(:75) ""(in """,ArialNarrow[7],,,,,
KAIROS-EN23,ArialNarrow-Bold(:75),"ArialNarrow-Bold[12] ""(in """,ArialNarrow[6],,,,,
UBS-EN23,Frutiger45Light(730:770),"Frutiger45LightBold ""Valuation in """,Frutiger45Light[5],2,1,3,,-1
MEDIOLANUM-EN23,TimesNewRomanPS[15.9647](60:81),"TimesNewRomanPS[9.978] ""(expressed in""",TimesNewRomanPS[7.9824],4,1,5,3,2
