ID,Deselection set
FIDEURAM-EN23,"Arial ""SHARES, WARRANTS, RIGHTS"""
FIDEURAM-EN23,"Arial ""TRANSFERABLE SECURITIES AND MONEY MARKET INSTRUMENTS ADMITTED TO AN OFFICIAL"""
FIDEURAM-EN23,"Arial ""EXCHANGE LISTING OR DEALT IN ON OTHER REGULATED MARKETS"""
FIDEURAM-EN23,"Arial ""BONDS AND ASSIMILATED STRUCTURED PRODUCTS"""
FIDEURAM-EN23,"Arial ""INVESTMENT FUNDS"""
EURIZON-EN23,"Frutiger-Light(160:765)""^*"""
EURIZON-EN23,"Frutiger-Light(160:765)""The price of this"""
EURIZON-EN23,"Frutiger-Light(160:765)""security is in default"""
MEDIOLANUM-IT24.A,"""^ """
MEDIOLANUM-IT24.A,"""TABELLA DEGLI INVESTIMENTI AL"""
MEDIOLANUM-IT24.A,"""attività"""
MEDIOLANUM-IT24.C,"""^ """
MEDIOLANUM-IT24.C,"""TABELLA DEGLI INVESTIMENTI AL"""
MEDIOLANUM-IT24.C,"""patrimonio"""
MEDIOLANUM-EN24,"""^  $"""
MEDIOLANUM-EN24,"""^ETF. """
MEDIOLANUM-EN24,"""^Write down instructed """
