ID,Algorithm flags,Tolerance,Interpret quantity as float,Interpret cost and value as int,Geometrical indexing,Merge previous,Interpret dash as zero
AMUNDI-IT24(investments)/0,,,TRUE,FALSE,,TRUE,
EURIZON-EN21,,,,FALSE,,,PERC_NET_ASSETS
EURIZON-EN23,,,TRUE,FALSE,,,
ASTERIA-EN24/0,,,,,,TRUE,
DANSKEINVEST-EN24,,,,,,TRUE,MARKET_VALUE | PERC_NET_ASSETS
CARNE-EN23,,,TRUE,FALSE,,TRUE,
UBS-EN23,,,TRUE,FALSE,,,
ANIMA_SICAV-EN24,,,TRUE,FALSE,,,
KAIROS-EN23,,,,FALSE,,,
FINECO-EN23@LUX,,,TRUE,,,,
FINECO-EN23@IR,,,,,,TRUE,
MEDIOLANUM-IT24.A,USE_RULER_AREA,,,,,,PERC_NET_ASSETS
AMUNDI-EN24,,,,,,,MARKET_VALUE
ANIMA-EN23,,,,,,,MARKET_VALUE
MEDIOLANUM-EN24,,,,,,,PERC_NET_ASSETS
MEDIOLANUM-IT24.C,,,,,,,PERC_NET_ASSETS
